,IMU_ACCEL_TIME,IMU_ACCEL_X,IMU_ACCEL_Y,IMU_ACCEL_Z,IMU_COMPASS_X,IMU_COMPASS_Y,IMU_COMPASS_Z,IMU_GPS_ALTITUDE,IMU_GPS_COURSE,IMU_GPS_LATITUDE,IMU_GPS_LONGITUDE,IMU_GPS_SPEED,IMU_GYRO_X,IMU_GYRO_Y,IMU_GYRO_Z,IMU_LOCAL_TIME_MS,IMU_VELOCITY_EAST,IMU_VELOCITY_NORTH,IMU_VELOCITY_UP,KALMAN_FILTER,TIMESTAMP,_id
0,0.0,-0.0020891627471440006,-0.015036132405758833,0.8665762055531143,0.6801766753196716,-0.2926848828792572,-0.3620610237121582,0.0,0.0,0.0,0.0,0.0,5.408871396442457e-05,0.0001106728605847468,-8.62264916921824e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288282
1,0.0,-0.001987167102326639,-0.014697084136907942,0.8670682560798525,0.6889257431030273,-0.2954062819480896,-0.34682130813598633,0.0,0.0,0.0,0.0,0.0,-7.552485583085533e-05,-0.00014076491642696088,0.00019107883036216178,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288283
2,0.0,-0.001987167102326639,-0.014697084136907942,0.8670682560798525,0.6889257431030273,-0.2954062819480896,-0.34682130813598633,0.0,0.0,0.0,0.0,0.0,-7.552485583085533e-05,-0.00014076491642696088,0.00019107883036216178,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288284
3,0.0,-0.0023163643507054074,-0.014767690727920271,0.8665522401556371,0.6912038326263428,-0.2880571484565735,-0.35637176036834717,0.0,0.0,0.0,0.0,0.0,-1.5760344811780682e-05,0.0004501576560669164,-8.044264675912672e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288285
4,0.0,-0.00249366947612958,-0.01463043768169824,0.8671575125724077,0.6961174011230469,-0.2991917133331299,-0.35606661438941956,0.0,0.0,0.0,0.0,0.0,9.48124294198408e-05,9.889977051844819e-05,7.395106156489597e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288286
5,0.0,-0.00249366947612958,-0.01463043768169824,0.8671575125724077,0.6961174011230469,-0.2991917133331299,-0.35606661438941956,0.0,0.0,0.0,0.0,0.0,9.48124294198408e-05,9.889977051844819e-05,7.395106156489597e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288287
6,0.0,-0.002365783849847503,-0.014866882265969179,0.8656514334714412,0.6876389384269714,-0.29674625396728516,-0.3523083031177521,0.0,0.0,0.0,0.0,0.0,-0.00025630837095181285,7.245846250326502e-05,9.491583497154153e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288288
7,0.0,-0.0028391965764726045,-0.014748082758467642,0.8667174844938517,0.6836594343185425,-0.28954827785491943,-0.3497474491596222,0.0,0.0,0.0,0.0,0.0,4.676343776425199e-05,-2.87390679292812e-05,-9.096792622053362e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea288289
8,0.0,-0.0018242858536815037,-0.014784553271122275,0.8666648190715909,0.6884702444076538,-0.29096242785453796,-0.3487395644187927,0.0,0.0,0.0,0.0,0.0,3.554901985778019e-05,0.00013341123685954706,-0.0001330137132534742,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea28828a
9,0.0,-0.0018242858536815037,-0.014784553271122275,0.8666648190715909,0.6884702444076538,-0.29096242785453796,-0.3487395644187927,0.0,0.0,0.0,0.0,0.0,3.554901985778019e-05,0.00013341123685954706,-0.0001330137132534742,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea28828b
10,0.0,-0.0020098881074995735,-0.014263199018086306,0.8655503696367145,0.6833624839782715,-0.29520493745803833,-0.3493868410587311,0.0,0.0,0.0,0.0,0.0,-0.0002459211844552307,-2.3513417269479755e-05,-2.1893085953954385e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea28828c
11,0.0,-0.0020098881074995735,-0.014263199018086306,0.8655503696367145,0.6833624839782715,-0.29520493745803833,-0.3493868410587311,0.0,0.0,0.0,0.0,0.0,-0.0002459211844552307,-2.3513417269479755e-05,-2.1893085953954385e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea28828d
12,0.0,-0.001962303687430685,-0.014245880730473438,0.8660258197417855,0.6764671206474304,-0.2973294258117676,-0.3452026844024658,0.0,0.0,0.0,0.0,0.0,-0.00023112389161874782,-0.0002421955417243994,2.6583097286354817e-05,0.0,0.0,0.0,0.0,False,,5aa703a46c38522bea28828e
13,0.0,-0.001962303687430685,-0.014245880730473438,0.8660258197417855,0.6764671206474304,-0.2973294258117676,-0.3452026844024658,0.0,0.0,0.0,0.0,0.0,-0.00023112389161874782,-0.0002421955417243994,2.6583097286354817e-05,0.0,0.0,0.0,0.0,False,,5aa703a56c38522bea28828f
14,0.0,-0.0018794690583163174,-0.014360780380992219,0.8668264393740891,0.6797354221343994,-0.2951461672782898,-0.3520474135875702,0.0,0.0,0.0,0.0,0.0,-1.6392733413621753e-05,-8.067997758459077e-05,-2.7252640756480216e-05,0.0,0.0,0.0,0.0,False,,5aa703a56c38522bea288290
15,0.0,-0.0018794690583163174,-0.014360780380992219,0.8668264393740891,0.6797354221343994,-0.2951461672782898,-0.3520474135875702,0.0,0.0,0.0,0.0,0.0,-1.6392733413621753e-05,-8.067997758459077e-05,-2.7252640756480216e-05,0.0,0.0,0.0,0.0,False,,5aa703a56c38522bea288291
